Time_sec,Local_Field_Potential_mV
0.574,0.13592
0.575,0.12509
0.576,0.1189
0.577,0.089666
0.578,0.041649
0.579,0.043962
0.58,0.014621
0.581,-0.048416
0.582,-0.10837
0.583,-0.14571
0.584,-0.16819
0.585,-0.18898
0.586,-0.13933
0.587,-0.15101
0.588,-0.19774
0.589,-0.15775
0.59,-0.15507
0.591,-0.11853
0.592,-0.041986
0.593,-0.0019443
0.594,0.028884
0.595,0.067408
0.596,0.10108
0.597,0.09893
0.598,0.10189
0.599,0.064025
0.6,0.03247
0.601,0.047523
0.602,0.018951
0.603,0.022289
0.604,0.029657
0.605,0.040431
0.606,0.069886
0.607,0.037963
0.608,0.061019
0.609,0.13838
0.61,0.17582
0.611,0.1453
0.612,0.1463
0.613,0.12175
0.614,0.070571
0.615,0.10682
0.616,0.033123
0.617,0.0068624
0.618,0.036145
0.619,-0.0083587
0.62,0.043835
0.621,0.015796
0.622,-0.0021722
0.623,0.031299
0.624,0.020123
0.625,0.047955
0.626,0.065475
0.627,0.11926
0.628,0.13072
0.629,0.13974
0.63,0.18062
0.631,0.16011
0.632,0.23145
0.633,0.22919
0.634,0.14096
0.635,0.16974
0.636,0.12019
0.637,0.080634
0.638,0.12871
0.639,0.13295
0.64,0.15001
0.641,0.15608
0.642,0.16057
0.643,0.1823
0.644,0.19118
0.645,0.21589
0.646,0.18298
0.647,0.19557
0.648,0.22864
0.649,0.20957
0.65,0.24241
0.651,0.18255
0.652,0.14345
0.653,0.15141
0.654,0.078825
0.655,0.033527
0.656,-0.043226
0.657,-0.052958
0.658,-0.016105
0.659,-0.033473
0.66,0.025015
0.661,0.039648
0.662,0.054692
0.663,0.091765
0.664,0.05994
0.665,0.097061
0.666,0.10676
0.667,0.097082
0.668,0.080753
0.669,0.074088
0.67,0.12743
0.671,0.11492
0.672,0.13818
0.673,0.17325
0.674,0.17164
0.675,0.20641
0.676,0.23527
0.677,0.28488
0.678,0.30963
0.679,0.3134
0.68,0.31893
0.681,0.3045
0.682,0.29641
0.683,0.29567
0.684,0.27831
0.685,0.21394
0.686,0.19023
0.687,0.1726
0.688,0.15265
0.689,0.16205
0.69,0.13691
0.691,0.14871
0.692,0.12966
0.693,0.081022
0.694,0.082206
0.695,0.067982
0.696,0.027652
0.697,-0.028832
0.698,-0.05063
0.699,-0.076639
0.7,-0.12226
0.701,-0.14807
0.702,-0.19052
0.703,-0.22853
0.704,-0.20171
0.705,-0.17803
0.706,-0.1771
0.707,-0.12156
0.708,-0.11744
0.709,-0.12442
0.71,-0.10317
0.711,-0.11102
0.712,-0.089556
0.713,-0.054438
0.714,-0.052094
0.715,-0.062811
0.716,-0.02386
0.717,-0.022339
0.718,-0.081691
