Time_sec,Trace_1_pA
12.7724,15.9135
12.77245,16.156375
12.7725,16.1145
12.77255,15.737625
12.7726,16.1270692
12.77265,15.7501942
12.7727,15.9009442
12.77275,16.0181942
12.7728,15.7166808
12.77285,16.19825
12.7729,15.419375
12.77295,16.1103192
12.773,16.055875
12.77305,15.82975
12.7731,16.0851942
12.77315,16.323875
12.7732,15.93025
12.77325,15.8004308
12.7733,15.737625
12.77335,15.69575
12.7734,15.7418192
12.77345,16.0600692
12.7735,16.2108192
12.77355,15.6496942
12.7736,15.921875
12.77365,15.8088058
12.7737,15.419375
12.77375,16.0014442
12.7738,15.947
12.77385,15.988875
12.7739,15.8339442
12.77395,15.82975
12.774,16.089375
12.77405,15.6664442
12.7741,15.4654308
12.77415,15.9176942
12.7742,15.86325
12.77425,15.746
12.7743,15.88
12.77435,16.0181942
12.7744,16.03075
12.77445,15.6245692
12.7745,15.7501942
12.77455,15.871625
12.7746,15.9595692
12.77465,15.6329308
12.7747,15.6580692
12.77475,15.8004308
12.7748,16.349
12.77485,16.1019442
12.7749,15.787875
12.77495,16.156375
12.775,15.7585558
12.77505,15.7083192
12.7751,15.737625
12.77515,16.1103192
12.7752,15.988875
12.77525,15.9009442
12.7753,15.687375
12.77535,15.5910558
12.7754,15.888375
12.77545,15.86325
12.7755,15.9176942
12.77555,16.1019442
12.7756,16.3364442
12.77565,15.7669308
12.7757,15.8841808
12.77575,16.43275
12.7758,15.871625
12.77585,16.039125
12.7759,15.6664442
12.77595,15.8171942
12.776,15.6245692
12.77605,16.072625
12.7761,15.804625
12.77615,15.6078192
12.7762,15.8339442
12.77625,15.972125
12.7763,16.0600692
12.77635,15.687375
12.7764,15.888375
12.77645,15.8255692
12.7765,15.9511808
12.77655,15.871625
12.7766,16.0349308
12.77665,15.7250558
12.7767,16.1103192
12.77675,15.838125
12.7768,16.2694442
12.77685,16.089375
12.7769,16.06425
12.77695,15.99725
12.777,16.0935558
12.77705,16.1270692
12.7771,15.9093058
12.77715,15.6580692
12.7772,16.1145
12.77725,15.9595692
12.7773,15.536625
12.77735,15.79625
12.7774,15.771125
12.77745,15.704125
12.7775,15.7795
12.77755,16.0098058
12.7776,16.089375
12.77765,16.0768058
12.7777,15.7125
12.77775,15.9344442
12.7778,16.256875
12.77785,16.106125
12.7779,16.039125
12.77795,15.612
12.778,15.7334442
12.77805,15.9176942
12.7781,15.7585558
12.77815,15.9260558
12.7782,16.1605558
12.77825,15.72925
12.7783,16.0014442
12.77835,15.8506808
12.7784,16.0684442
12.77845,16.23175
12.7785,15.96375
12.77855,15.5743192
12.7786,16.0516808
12.77865,15.687375
12.7787,15.7795
12.77875,15.82975
12.7788,16.2108192
12.77885,15.8841808
12.7789,15.6455
12.77895,15.6580692
12.779,16.089375
12.77905,16.0851942
12.7791,15.804625
12.77915,15.469625
